32,909,352,909,352,939,32,939,0.9996717
512,379,607,379,607,402,512,402,0.9996667
176,1038,432,1038,432,1065,176,1065,0.9996228
416,735,592,735,592,762,416,762,0.9995952
416,184,592,184,592,209,416,209,0.99956304
16,201,208,201,208,223,16,223,0.99954957
16,373,352,373,352,399,16,399,0.9995197
32,793,192,793,192,822,32,822,0.9995128
480,436,607,436,607,464,480,464,0.99948174
464,977,592,977,592,1003,464,1003,0.99947065
192,102,432,102,432,131,192,131,0.9994343
128,674,496,674,496,706,128,706,0.9994272
128,133,480,133,480,160,128,160,0.99942017
512,264,607,264,607,284,512,284,0.9994092
32,745,208,745,208,770,32,770,0.9993963
192,648,432,648,432,674,192,674,0.9993886
416,210,576,210,576,233,416,233,0.9993843
416,761,560,761,560,783,416,783,0.999366
304,315,607,315,607,343,304,343,0.99934727
304,259,464,259,464,281,304,281,0.9993123
16,968,112,968,112,998,16,998,0.9992999
0,253,192,253,192,278,0,278,0.9992798
64,851,224,851,224,876,64,876,0.9992768
496,917,592,917,592,942,496,942,0.999258
304,857,592,857,592,887,304,887,0.9992512
304,806,592,806,592,836,304,836,0.99923575
16,312,144,312,144,339,16,339,0.99923253
160,499,432,499,432,522,160,522,0.99922717
0,431,112,431,112,458,0,458,0.9992188
0,175,96,175,96,196,0,196,0.9991897
